#Zeitstempel	Wert
0	10.526909722222221
43200	9.983875
86400	10.24525
129600	9.812604166666667
172800	16.998381944444443
216000	22.599777777777778
259200	16.78725
302400	9.408993055555555
345600	8.116472222222221
388800	7.759770833333333
432000	7.388208333333334
475200	6.975125
518400	6.734249999999999
561600	6.434881944444445
604800	6.513486111111111
648000	8.290993055555555
691200	13.082611111111111
734400	11.531986111111111
777600	9.310694444444444
820800	8.90682638888889
864000	9.226326388888888
907200	8.742298611111112
950400	8.43995138888889
993600	8.259493055555556
1036800	8.155458333333334
1080000	7.940999999999999
1123200	7.9581875
1166400	7.918173611111111
1209600	8.832048611111112
1252800	11.619833333333334
1296000	9.117875
1339200	8.904291666666667
1382400	20.301243055555556
1425600	18.382375
1468800	16.758812499999998
1512000	14.798513888888888
1555200	14.937083333333334
1598400	14.392090277777775
1641600	15.021284722222223
1684800	14.596395833333332
1728000	14.539388888888888
1771200	14.978
1814400	14.737916666666669
1857600	13.925458333333333
1900800	14.593020833333334
1944000	13.257416666666666
1987200	13.638548611111112
2030400	13.261625
2073600	15.800770833333335
2116800	18.404534722222223
2160000	17.321868055555555
2203200	16.781722222222225
2246400	17.193569444444442
2289600	16.411506944444444
2332800	16.815631944444444
2376000	16.111222222222224
2419200	16.30673611111111
2462400	15.83465972222222
2505600	15.669159722222222
2548800	16.085402777777777
2592000	15.461055555555554
2635200	15.649791666666667
2678400	15.567409722222221
2721600	15.124055555555556
2764800	15.471506944444444
2808000	15.080361111111111
2851200	15.514854166666668
2894400	14.942847222222222
2937600	15.007277777777777
2980800	15.510256944444443
3024000	15.943451388888889
3067200	15.091659722222223
3110400	15.535847222222221
3153600	14.36398611111111
3196800	14.611277777777778
3240000	14.07351388888889
3283200	14.51757638888889
3326400	13.885798611111111
3369600	14.301090277777778
3412800	13.736527777777777
3456000	14.078694444444444
3499200	13.650770833333333
3542400	13.765708333333333
3585600	16.348291666666668
3628800	14.18142361111111
3672000	10.647506944444444
3715200	11.19401388888889
3758400	10.953583333333334
3801600	11.101819444444445
3844800	11.16157638888889
3888000	10.995819444444443
3931200	11.177479166666666
3974400	11.238166666666666
4017600	11.062486111111111
4060800	11.148027777777777
4104000	10.975416666666668
4147200	10.79623611111111
4190400	6.537541666666666
4233600	6.481423611111111
4276800	6.215847222222222
4320000	6.0298541666666665
4363200	5.953326388888889
